product_name,category,sub_category,brand,price,description
Fly Creek HV UL 2 mtnGLO Tent,camping-and-hiking,tents,Big Agnes,263.93,"The award-winning, 3-season, 2-person Big Agnes Fly Creek HV UL 2 mtnGLO Tent has been redesigned with steep wall architecture, a vertical door, and mtnGLO Light Technology."
Stormbreak 2 Tent,camping-and-hiking,tents,The North Face,118.93,"From trailhead campsites to your favorite backcountry hideaway, The North Face Stormbreak 2 Tent offers 3-season shelter for 2 campers. Two doors and 2 vestibules allow easy access and gear storage."
Fly Creek HV UL 1 Tent,camping-and-hiking,tents,Big Agnes,349.95,"The ultralight Big Agnes Fly Creek HV UL 1 tent improves on an award-winning design with increased volume, creating more livable comfort than ever for your solo trips&#8212;without any added weight."
Kingdom 6 Tent,camping-and-hiking,tents,REI Co-op,439,"Enjoy wide-open spaces inside your tent too. The airy REI Kingdom 6 tent offers 3-season protection for you and your family, and divides to create 2 private rooms with space for all your gear."
Micro Crew Cushion Hiking Socks - Men's,footwear,socks,Darn Tough,21,"Darn Tough Micro Crew Cushion Hiking socks provide miles of comfort and durability&#8212;trail-tested on the Vermont Long Trail, these socks provide a high level of cushioned performance."
Half Dome 2 Plus Tent,camping-and-hiking,tents,REI Co-op,229,Your home away from home shouldn't skimp on the essentials. The 3-season REI Co-op Half Dome 2 Plus backpacking tent provides you and a partner with plenty of room to stretch out and stay comfortable.
Quarter Cushion Socks - Men's,footwear,socks,Darn Tough,18,Darn Tough Quarter Cushion men's socks provide miles of comfort and durability&#8212;these trail-tested socks provide a high level of cushioned performance.
Yellow Jacket 4 mtnGLO Tent,camping-and-hiking,tents,Big Agnes,239.93,"The 3-season, 4-person Big Agnes Yellow Jacket 4 mtnGLO tent lights up at the click of a button with patent-pending mtnGLO Tent Light Technology, featuring LED lights integrated into the tent body."
Boulder No Fly Zone Light Hike Crew Socks - Men's,footwear,socks,Farm to Feet,9.83,"Don't be bothered with blisters and bugs. The Farm to Feet Boulder No Fly Zone&#8482; Light Hike crew socks offer lightweight hiking comfort, along with No Fly Zone insect-repellent built in."
Hydro Rapid Sandals - Kids',footwear,kids-footwear,Merrell,14.73,"Any summer adventure is suited for the Merrell Hydro Rapid sandals, especially the water-bound ones."
Dagger 2P Tent,camping-and-hiking,tents,NEMO,399.95,"The 2-person, 3-season NEMO Dagger offers you the best of both worlds: a tent light enough for ultralight backpacking, yet roomy enough to wait out a rainstorm without feeling claustrophobic."
Hiking Socks - Men's,footwear,socks,Smartwool,18.95,These no-itch merino wool Smartwool hiking socks maintain softness and shape through seasons of wear and washing.
Yoot Pac Nylon Winter Boots - Kids',footwear,kids-footwear,Sorel,49.93,"No cold feet allowed this winter. The kids' Sorel Yoot Pac Nylon winter boots protect toes against the elements with waterproof leather, and removable, washable felt insulation."
Fly Creek HV UL 2 Tent,camping-and-hiking,tents,Big Agnes,389.95,"Weighing a scant 1 lb. 15 oz., the Big Agnes Fly Creek HV UL 2 tent maximizes floor space and headroom with steep walls and a vertical door, adding more livable comfort for your wilderness adventures."
Tivoli II Snow Boots - Women's,footwear,womens-footwear,Sorel,59.83,"With a fun, versatile silhouette, the women's Sorel Tivoli II Snow Boots offer style, warmth and waterproof protection for walks on snowy sidewalks and days spent sledding with the kids."
Tivoli II Snow Boots - Women's,footwear,boots,Sorel,59.83,"With a fun, versatile silhouette, the women's Sorel Tivoli II Snow Boots offer style, warmth and waterproof protection for walks on snowy sidewalks and days spent sledding with the kids."
MICROspikes Traction System,footwear,footwear-accessories,Kahtoola,69.95,"Updated MICROspikes deliver unrivaled traction on icy winter trails. Easy to use with almost any shoes, they're tough enough to handle any adventure, and small enough to fit easily in your pocket."
Z/Cloud X2 Sandals - Women's,footwear,sandals,Chaco,110,"For pillow-top comfort underfoot, slip on the travel-ready women's Chaco Z/Cloud X2 sandals. They have adjustable double straps, ChacoGrip outsoles and ultrasoft topsoles for sublime cushioning."
1990 GTX Mountain Jacket - Men's,mens-clothing,mens-jackets,The North Face,299,"If you've been venturing out-of-doors for decades, you'll likely remember the Mountain jacket. Updated with current tech, The North Face 1990 GTX Mountain jacket pays homage to that iconic design."
Moab FST WP Low Hiking Shoes - Men's,footwear,shoes,Merrell,69.83,"The waterproof Merrell Moab FST WP Low hiking shoes offer updated athletic styling and lighter midsoles, plus the all-day comfort and great out-of-the-box fit that the Moab shoes are known for."
Hiker Micro Crew Socks - Women's,footwear,socks,Darn Tough,21,"Darn Tough Hiker Micro Crew women's socks provide miles of comfort and durability&#8212;trail-tested on the Vermont Long Trail, these socks provide a high level of cushioned performance."
Romeo II Slippers - Men's,footwear,slippers,Acorn,48.83,"Romeo, Romeo, wherefore art thou, Romeo? On your feet! The men's Acorn Romeo II slippers offer luxurious comfort with sweat-wicking sheepskin uppers that wrap your toes in lasting warmth."
Moab FST WP Low Hiking Shoes - Men's,footwear,hiking-footwear,Merrell,69.83,"The waterproof Merrell Moab FST WP Low hiking shoes offer updated athletic styling and lighter midsoles, plus the all-day comfort and great out-of-the-box fit that the Moab shoes are known for."
Snowcoast3 Snow Boots - Kids',footwear,kids-footwear,Kamik,39.83,"Kamik Snowcoast3 kids' snow boots keep little feet warm and dry for snowman building, sledding and even just tromping to the bus stop."
Quarter Dome Air Hammock,camping-and-hiking,tents,REI Co-op,149.93,"A minimalist alternative to a tent, the REI Quarter Dome Air hammock packs light, sets up easy and provides a structured, open sleeping area up off the ground with a stowable bug net for protection."
GT-2000 5 Road-Running Shoes - Women's,footwear,womens-footwear,ASICS,59.83,"For higher-mileage runners looking for a structured and cushioned ride, ASICS GT-2000 5 women's road-running shoes offer exceptional bounce-back, cushioning, durability and forefoot support."
X Ultra Winter Climashield Waterproof Boots - Men's,footwear,boots,Salomon,119.93,"These boots combine light platforms underfoot with waterproof weather protection, Thinsulate insulation and aggressive outsoles for confidence when charging through wet, snowy and icy conditions."
Trail Crampons,footwear,footwear-accessories,Hillsound,65,The Hillsound Trail Crampons are a necessity for added traction when you're out hiking on local trails or deep in the backcountry. They're designed to handle tough terrain and winter conditions.
Newport H2 Sandals - Men's,footwear,sandals,KEEN,69.73,"Made with tough nylon webbing, the all-terrain KEEN Newport H2 sandals provide protection, function and freedom for your feet."
Nano Puff Jacket - Men's,mens-clothing,mens-jackets,Patagonia,199,"Born of shoulder-season belay duty and quick-hit ski tours, the Patagonia men's Nano Puff jacket traps body heat, blocks wind and lets you move freely&#8212;and it's made using 75% recycled materials."
Rhyolite Rain Jacket - Men's,mens-clothing,mens-jackets,REI Co-op,93.83,"The ultimate breathable waterproof shell for backpackers, our Men's Rhyolite Jacket features eVent&#174; DValpine&#8482; fabric and a design that draws on decades of trail experience."
GT-2000 5 Road-Running Shoes - Women's,footwear,shoes,ASICS,59.83,"For higher-mileage runners looking for a structured and cushioned ride, ASICS GT-2000 5 women's road-running shoes offer exceptional bounce-back, cushioning, durability and forefoot support."
Lightweight Merino Wool Hiking Crew Socks,footwear,socks,REI Co-op,14.95,"Enjoy stellar trail performance with the REI Co-op Merino Wool Technical Hiking crew socks, made from fibers that are naturally moisture-wicking, quick-drying and odor-resistant."
Moc Ragg Slippers - Women's,footwear,slippers,Acorn,34.93,Thick Berber linings inside heritage ragg wool uppers make the women's Moc Ragg the bestselling slipper by Acorn. Cloud Cushion&#8482; footbeds deliver comfort and nonslip outsoles permit outdoor use.
X Ultra Winter Climashield Waterproof Boots - Men's,footwear,hiking-footwear,Salomon,119.93,"These boots combine light platforms underfoot with waterproof weather protection, Thinsulate insulation and aggressive outsoles for confidence when charging through wet, snowy and icy conditions."
XA Pro 3D J Trail-Running Shoes - Kids',footwear,kids-footwear,Salomon,64.95,Get your young one started early on the trails with the junior Salomon XA Pro 3D J trail-running shoes. Their Quicklace&#8482; laces adjust with a single tug and won't snag on trail debris.
Tumble 1 mtnGLO Tent,camping-and-hiking,tents,Big Agnes,131.93,"Winner of Backpacker’s 2015 Editors' Choice Award for its built-in LED lights, this 1-person, 3-season backpacking tent lets you go from dark to light with a simple click of a button."
Outcross Evo 1 Water Shoes - Women's,footwear,womens-footwear,Chaco,32.73,The women's Chaco OutCross Evo 1 water shoes combine breathable mesh and webbing uppers with protective toe bumpers for amphibious performance on the trail and in the water.
Montara Waterproof Hiking Boots - Women's,footwear,boots,Ahnu,124.93,"Take to the trails in the Ahnu Montara boots, which supply waterproof, breathable protection thanks to eVent&#174; membranes, along with sturdy construction and light support for light day hikes."
Green Premium Insoles - High Volume,footwear,footwear-accessories,Superfeet,49.95,"These green Superfeet&#174; insoles align and control the motion of your feet, providing balance, support and shock absorption for hiking and other active sports."
Z/2 Colorado NPF Sandals - Joshua Tree - Women's,footwear,sandals,Chaco,64.83,"Partnering with the National Park Foundation, Chaco Z/2 Colorado NPF limited edition sandals have a custom strap design inspired by the Joshua Tree National Park."
Moab FST WP Low Hiking Shoes - Men's,footwear,mens-footwear,Merrell,69.83,"The waterproof Merrell Moab FST WP Low hiking shoes offer updated athletic styling and lighter midsoles, plus the all-day comfort and great out-of-the-box fit that the Moab shoes are known for."
Vermont Classic Glacier Sunglasses,camping-and-hiking,sunglasses,Julbo,150,"The legend returns. The Julbo Vermont Classic glacier glasses are the signature Julbo mountaineering glasses, brought back to celebrate Julbo's 125th anniversary."
Front Range Dog Harness,camping-and-hiking,dog-gear,Ruffwear,40,"The Ruffwear Front Range dog harness is a comfortable harness that your pup can wear all day, everyday. It's durable and made for fun adventure."
eVent Compression Dry Sack,camping-and-hiking,gear-storage-and-maintenance,Sea to Summit,49.95,"This valve-free compression dry sack uses a breathable base made of eVent&#8482; waterproof fabric that allows air to be pushed out, but keeps water from entering."
Stargaze Recliner Luxury Chair,camping-and-hiking,camp-furniture,NEMO,219.95,"Be the hit of the meteor shower party in this NEMO Stargaze Recliner Luxury. Its supportive headrest ensures you won't get a crick in your neck as you lean back, swing and marvel at the night sky."
ThermoBall Snow Triclimate 3-in-1 Jacket - Men's,mens-clothing,mens-jackets,The North Face,349,"With a liner jacket that uses heat-trapping synthetic fibers to mimic down insulation, The North Face ThermoBall Snow Triclimate 3-in-1 jacket is warm, waterproof and versatile for winter shredding."
Soul Cal: A Cali Bouldering Vid - DVD,books-and-maps,dvds,None,11.83,Let the Soul Cal road trip begin! Ride along as this group attacks the classic boulders of Southern California.
Camp Out! The Ultimate Kids' Guide from the Backyard to the Backwoods,books-and-maps,kids-books,Workman Publishing,13.95,"The Camp Out! guide offers 174 activities, games, skills, projects, experiments, crafts and more for kids to make, learn, play and do outdoors."
Outcross Evo 1 Water Shoes - Women's,footwear,shoes,Chaco,32.73,The women's Chaco OutCross Evo 1 water shoes combine breathable mesh and webbing uppers with protective toe bumpers for amphibious performance on the trail and in the water.
Wintersport Stripe Socks - Kids',footwear,socks,Smartwool,15.95,"Made for sledding adventures and playground play, the Smartwool Wintersport Stripe socks provide lightweight cushioning and enduring warmth for your child."
Oh Ewe II Slippers - Women's,footwear,slippers,Acorn,74.93,"Make padding to the kitchen on chilly mornings much better with the women's Acorn Oh Ewe II slippers. Fully lined with hypoallergenic sheepskin, these slippers envelop your feet in supportive warmth."
Montara Waterproof Hiking Boots - Women's,footwear,hiking-footwear,Ahnu,124.93,"Take to the trails in the Ahnu Montara boots, which supply waterproof, breathable protection thanks to eVent&#174; membranes, along with sturdy construction and light support for light day hikes."
Alpenglow IV Insulated Boots - Kids',footwear,kids-footwear,The North Face,39.93,"Easy for active young explorers to pull on and secure in the rush to explore fresh snowfall, The North Face Alpenglow IV winter boots feature warm, removable liners and protective, waterproof shells."
Base Camp 6 Tent,camping-and-hiking,tents,REI Co-op,429,This tent combines mountaineering-inspired geodesic dome architecture and rugged materials to create a roomy and robust campground shelter for 6 people.
Montara Waterproof Hiking Boots - Women's,footwear,womens-footwear,Ahnu,124.93,"Take to the trails in the Ahnu Montara boots, which supply waterproof, breathable protection thanks to eVent&#174; membranes, along with sturdy construction and light support for light day hikes."
Quest 4D 3 GTX Hiking Boots - Men's,footwear,boots,Salomon,230,"Get to your next campsite with dry, happy feet in the Salomon Quest 4D 3 GTX men's hiking boots. With technology designed to help reduce fatigue, they lend support for your backpacking treks."
FreeSteps6 Crampons,footwear,footwear-accessories,Hillsound,40,"Find secure footing with these adjustable, easy-to-wear crampons. The FreeSteps6 crampons offer solid grip on everything from icy city pavement to packed snow to slippery river beds."
Rialto H2 Sandals - Men's,footwear,sandals,KEEN,119.95,"With grippy traction and supportive open-air uppers, the KEEN Rialto H2 sandals deliver great traction and comfort in the water or on the trail."
X Ultra Winter Climashield Waterproof Boots - Men's,footwear,mens-footwear,Salomon,119.93,"These boots combine light platforms underfoot with waterproof weather protection, Thinsulate insulation and aggressive outsoles for confidence when charging through wet, snowy and icy conditions."
Bivouak Photochromic Glacier Sunglasses,camping-and-hiking,sunglasses,Julbo,180,"The Julbo Bivouak with photochromic lenses prove that one pair of sunglasses really can do it all! Wear them in low to extreme light, on the glacier and on the trail for protection in any condition."
Web Master Dog Harness,camping-and-hiking,dog-gear,Ruffwear,60,"The Ruffwear Web Master is a supportive, multi-use dog harness built for maneuvering and assisting adventurous dogs up and over any obstacles that might stand in their way."
Ultra-Sil Compression Dry Sack,camping-and-hiking,gear-storage-and-maintenance,Sea to Summit,49.95,"The lightweight, waterproof Sea to Summit Ultra-Sil&#174; Compression Dry Sack compresses your clothing and gear to 1/3 the volume while keeping it dry."
Quarter Dome Air Hammock,camping-and-hiking,camp-furniture,REI Co-op,149.93,"A minimalist alternative to a tent, the REI Quarter Dome Air hammock packs light, sets up easy and provides a structured, open sleeping area up off the ground with a stowable bug net for protection."
